task_id,model,attempt,passed,error_type,latency,tokens
HumanEval/0,allam-2-7b,0,False,runtime_error,0.37729430198669434,363
HumanEval/0,llama-3.1-8b-instant,0,True,,0.12830829620361328,234
HumanEval/0,openai/gpt-oss-20b,0,False,runtime_error,0.6467678546905518,718
HumanEval/0,meta-llama/llama-4-scout-17b-16e-instruct,0,True,,0.6639254093170166,314
HumanEval/1,allam-2-7b,0,False,runtime_error,0.3896472454071045,387
HumanEval/1,llama-3.1-8b-instant,0,True,,0.23156118392944336,299
HumanEval/1,openai/gpt-oss-20b,0,False,empty_code,0.649341344833374,708
HumanEval/1,meta-llama/llama-4-scout-17b-16e-instruct,0,True,,0.8042011260986328,421
HumanEval/2,allam-2-7b,0,True,,0.2785067558288574,187
HumanEval/2,llama-3.1-8b-instant,0,True,,0.0911707878112793,149
HumanEval/2,openai/gpt-oss-20b,0,True,,0.2973043918609619,370
HumanEval/2,meta-llama/llama-4-scout-17b-16e-instruct,0,True,,0.30974507331848145,196
HumanEval/3,allam-2-7b,0,False,runtime_error,0.3298521041870117,297
HumanEval/3,llama-3.1-8b-instant,0,True,,0.10891842842102051,215
HumanEval/3,openai/gpt-oss-20b,0,False,runtime_error,0.25184106826782227,324
HumanEval/3,meta-llama/llama-4-scout-17b-16e-instruct,0,True,,0.2287919521331787,194
HumanEval/4,allam-2-7b,0,False,runtime_error,0.32329678535461426,291
HumanEval/4,llama-3.1-8b-instant,0,False,wrong_output,0.10447478294372559,207
HumanEval/4,openai/gpt-oss-20b,0,False,runtime_error,0.37217140197753906,474
HumanEval/4,meta-llama/llama-4-scout-17b-16e-instruct,0,True,,0.4232656955718994,278
HumanEval/5,allam-2-7b,0,False,runtime_error,0.3164496421813965,258
HumanEval/5,llama-3.1-8b-instant,0,False,runtime_error,0.13237738609313965,195
HumanEval/5,openai/gpt-oss-20b,0,False,runtime_error,0.4178757667541504,466
HumanEval/5,meta-llama/llama-4-scout-17b-16e-instruct,0,True,,0.361539363861084,246
HumanEval/6,allam-2-7b,0,False,runtime_error,0.45509982109069824,479
HumanEval/6,llama-3.1-8b-instant,0,False,wrong_output,0.17526865005493164,267
HumanEval/6,openai/gpt-oss-20b,0,False,runtime_error,0.4521801471710205,540
HumanEval/6,meta-llama/llama-4-scout-17b-16e-instruct,0,True,,0.5779731273651123,332
HumanEval/7,allam-2-7b,0,False,runtime_error,0.27401137351989746,200
HumanEval/7,llama-3.1-8b-instant,0,False,runtime_error,0.0942230224609375,167
HumanEval/7,openai/gpt-oss-20b,0,False,runtime_error,0.22575688362121582,291
HumanEval/7,meta-llama/llama-4-scout-17b-16e-instruct,0,True,,0.40234804153442383,220
HumanEval/8,allam-2-7b,0,False,runtime_error,0.32168126106262207,288
HumanEval/8,llama-3.1-8b-instant,0,True,,0.1244356632232666,218
HumanEval/8,openai/gpt-oss-20b,0,False,runtime_error,0.3480682373046875,443
HumanEval/8,meta-llama/llama-4-scout-17b-16e-instruct,0,True,,0.45366716384887695,281
HumanEval/9,allam-2-7b,0,False,runtime_error,0.3481013774871826,301
HumanEval/9,llama-3.1-8b-instant,0,False,runtime_error,0.11241364479064941,196
HumanEval/9,openai/gpt-oss-20b,0,False,runtime_error,0.5123953819274902,566
HumanEval/9,meta-llama/llama-4-scout-17b-16e-instruct,0,True,,0.5765962600708008,323
